cancion;artista;genero;;
Cum On Feel The Noize (Re-Recorded / Remastered) ; Quiet Riot;Rock clasico;;
Gimme Some Lovin' (Finland '66) ; The Spencer Davis Group;Rock clasico;;
Saturday Night (Re-Recorded / Remastered) ; Bay City Rollers;Rock clasico;;
Devil's Answer ; Atomic Rooster;Rock clasico;;
Don't Let Him Know (Re-Recorded / Remastered) ; Prism;Rock clasico;;
Let's Live For Today (Re-Recorded / Remastered) ; The Grass Roots;Rock clasico;;
Devil With A Blue Dress On (Re-recorded / Remastered) ; Mitch Ryder;Rock clasico;;
Indian Reservation (Re-Recorded / Remastered) ; Paul Revere & The Raiders;Rock clasico;;
You Keep Me Hangin' On (Re-Recorded / Remastered) ; Vanilla Fudge;Rock clasico;;
Wild Thing (Re-Recorded / Remastered) ; The Troggs;Rock clasico;;
Sour Milk Sea ; Jackie Lomax;Rock clasico;;
Motorbikin' ; Chris Spedding;Rock clasico;;
I Don't Need No Doctor (Live) ; Humble Pie;Rock clasico;;
London Calling - Remastered ; The Clash;Punk;;
Blitzkrieg Bop - Remastered Version ; Ramones;Punk;;
Basket Case ; Green Day;Punk;;
The Kids Aren't Alright ; The Offspring;Punk;;
All The Small Things ; blink-182;Punk;;
Anarchy In The U.K. ; Sex Pistols;Punk;;
Superman ; Goldfinger;Punk;;
Story of My Life ; Social Distortion;Punk;;
Linoleum ; NOFX;Punk;;
Thrash Unreal ; Against Me!;Punk;;
Radio; Radio ;Punk;;
The Passenger ; Iggy Pop;Punk;;
No Cigar ; Millencolin;Punk;;
Kick Out The Jams (Original Uncensored Version) ; MC5;Punk;;
Holiday in Cambodia ; Dead Kennedys;Punk;;
Fat Lip ; Sum 41;Punk;;
Savior ; Rise Against;Punk;;
Miss Murder ; AFI;Punk;;
Cherry Bomb ; The Runaways;Punk;;
Time Bomb ; Rancid;Punk;;
Last Caress ; Misfits;Punk;;
Straight Edge ; Minor Threat;Punk;;
Bob ; NOFX;Punk;;
Fuck Authority ; Pennywise;Punk;;
American Slang ; The Gaslight Anthem;Punk;;
TV Party ; Black Flag;Punk;;
New Noise ; Refused;Punk;;
Hooray For Me ; Pulley;Punk;;
Amoeba ; Adolescents;Punk;;
Search and Destroy ; The Stooges;Punk;;
Hope ; Descendents;Punk;;
42506; Lagwagon;Punk;;
Trusty Chords ; Hot Water Music;Punk;;
Analog ; Strung Out;Punk;;
Ocean Avenue ; Yellowcard;Punk;;
Sound System ; Operation Ivy;Punk;;
Anti-Manifesto ; Propagandhi;Punk;;
I Don't Wanna Be An Asshole Anymore ; The Menzingers;Punk;;
Corona ; Minutemen;Punk;;
You're Gonna Go Far; Kid ;Punk;;
Waiting Room ; Fugazi;Punk;;
Banned In D.C. ; Bad Brains;Punk;;
Gone ; The Bouncing Souls;Punk;;
1985; Bowling For Soup;Punk;;
The Boys of Summer ; The Ataris;Punk;;
I Wanna Be Your Dog ; The Stooges;Punk;;
City Of Angels ; The Distillers;Punk;;
The Impression That I Get ; The Mighty Mighty Bosstones;Punk;;
Sonic Reducer ; Dead Boys;Punk;;
I Wanna Be Sedated ; Ramones;Punk;;
In The City ; The Jam;Punk;;
Try Honesty ; Billy Talent;Punk;;
Bastards of Young - 2008 Remastered Version ; The Replacements;Punk;;
This Is the End (For You My Friend) ; Anti-Flag;Punk;;
Friends & Traitors ; Raised Fist;Punk;;
Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version ; Buzzcocks;Punk;;
Oh Bondage Up Yours! ; X-Ray Spex;Punk;;
Prayer Of The Refugee ; Rise Against;Punk;;
Personality Crisis ; New York Dolls;Punk;;
Rebel Girl ; Bikini Kill;Punk;;
Don't Want To Know If You Are Lonely ; Hüsker Dü;Punk;;
I Was a Teenage Anarchist ; Against Me!;Punk;;
New Rose ; The Damned;Punk;;
World's On Heroin ; All;Punk;;
Longview ; Green Day;Punk;;
Don't Call Me White ; NOFX;Punk;;
Rock 'N' Roll High School - Remastered ; Ramones;Punk;;
Gotta Go ; Agnostic Front;Punk;;
My Friends Over You ; New Found Glory;Punk;;
American Idiot ; Green Day;Punk;;
Rise Above ; Black Flag;Punk;;
Everything Is Alright ; Motion City Soundtrack;Punk;;
Institutionalized ; Suicidal Tendencies;Punk;;
Can I Borrow Some Ambition? ; Guttermouth;Punk;;
Pretend We're Dead ; L7;Punk;;
Monsters ; Matchbook Romance;Punk;;
Knifeman ; The Bronx;Punk;;
Kids in America ; The Muffs;Punk;;
Dumb Reminders ; No Use For A Name;Punk;;
Nightlife ; Off With Their Heads;Punk;;
Because the Night - Remastered ; Patti Smith;Punk;;
Shoulder to the Wheel ; Saves The Day;Punk;;
Cool Kids ; Screeching Weasel;Punk;;
God Save The Queen ; Sex Pistols;Punk;;
Dammit ; blink-182;Punk;;
Self Esteem ; The Offspring;Punk;;
Should I Stay or Should I Go - Remastered ; The Clash;Punk;;
Los Angeles ; X;Punk;;
I Was Wrong ; Social Distortion;Punk;;
Ruby Soho ; Rancid;Punk;;
Alternative Ulster ; Stiff Little Fingers;Punk;;
Pretty Vacant ; Sex Pistols;Punk;;
A.D.D. ; Ten Foot Pole;Punk;;
Mercy Me ; Alkaline Trio;Punk;;
Skate Or Die ; Teenage Bottlerocket;Punk;;
La Tormenta ; Los Fabulosos Cadillacs;Rock en español;;
Sin Documentos ; Los Rodriguez;Rock en español;;
Crimen ; Gustavo Cerati;Rock en español;;
La Muralla Verde ; Los Enanitos Verdes;Rock en español;;
El Farolito ; Los Piojos;Rock en español;;
Así Es La Vida ; Elefante;Rock en español;;
No Voy en Tren ; Charly García;Rock en español;;
Viento ; Caifanes;Rock en español;;
Irresponsables ; Babasónicos;Rock en español;;
Obsesión ; Miguel Mateos;Rock en español;;
Como te extraño mi amor ; Café Tacvba;Rock en español;;
Devuelveme A Mi Chica ; Hombres G;Rock en español;;
El Microbito ; Fobia;Rock en español;;
Frente A Frente ; Bunbury;Rock en español;;
Te Quiero Igual ; Andrés Calamaro;Rock en español;;
Vasos Vacíos ; Los Fabulosos Cadillacs;Rock en español;;
Bonito ; Jarabe De Palo;Rock en español;;
Mentira - Remastered ; La Ley;Rock en español;;
Mariposa Tecknicolor ; Fito Páez;Rock en español;;
El Amor Después del Amor ; Fito Páez;Rock en español;;
La Lanza ; Babasónicos;Rock en español;;
Entre Dos Tierras ; Heroes Del Silencio;Rock en español;;
Frijolero ; Molotov;Rock en español;;
La Que Me Gusta ; Los Amigos Invisibles;Rock en español;;
Se Despierta La Ciudad ; Vicentico;Rock en español;;
Lucha De Gigantes ; Nacha Pop;Rock en español;;
A las Nueve ; No Te Va Gustar;Rock en español;;
Escuela de Calor ; Radio Futura;Rock en español;;
Atún ; Ciro y los Persas;Rock en español;;
Imagina ; Genitallica;Rock en español;;
Siento Que... ; Jumbo;Rock en español;;
A Un Minuto De Ti ; Mikel Erentxun;Rock en español;;
Triste Cancion ; El Tri;Rock en español;;
Sr. Cobranza ; Bersuit Vergarabat;Rock en español;;
Amnesia ; Inspector;Rock en español;;
En El Muelle De San Blas ; Maná;Rock en español;;
La Espada & la Pared ; Los Tres;Rock en español;;
Enciendan los Parlantes ; Los Auténticos Decadentes;Rock en español;;
La pachanga ; Vilma Palma E Vampiros;Rock en español;;
Mi Agüita Amarilla ; Los Toreros Muertos;Rock en español;;
Tren Al Sur ; Los Prisioneros;Rock en español;;
Dormir Soñando ; El Gran Silencio;Rock en español;;
En Algun Lugar ; Duncan Dhu;Rock en español;;
De Mis Pasos ; Julieta Venegas;Rock en español;;
No Dejes Que ; Jaguares;Rock en español;;
Ja; Ja;Rock en español;;
Mala Vida ; Mano Negra;Rock en español;;
Cuando Respiro en Tu Boca ; Lucybell;Rock en español;;
Afuera ; Caifanes;Rock en español;;
Las flores ; Café Tacvba;Rock en español;;
Los Malaventurados No Lloran ; PXNDX;Rock en español;;
Mil Horas ; Los Abuelos De La Nada;Rock en español;;
Promesas Que no valen nada ; Los Piratas;Rock en español;;
No Llora ; El Cuarteto De Nos;Rock en español;;
Mentiras ; Los Amigos Invisibles;Rock en español;;
Ella Estrella ; La Gusana Ciega;Rock en español;;
La chispa adecuada (feat. León Larregui) - MTV Unplugged ; Bunbury;Rock en español;;
Baracunatana ; Aterciopelados;Rock en español;;
La Dosis Perfecta ; Panteon Rococo;Rock en español;;
Nos Siguen Pegando Abajo ; Charly García;Rock en español;;
Pachuco - Remasterizado ; Maldita Vecindad Y Los Hijos Del 5to. Patio;Rock en español;;
Depende ; Jarabe De Palo;Rock en español;;
Mil Horas ; Andrés Calamaro;Rock en español;;
Lobo-Hombre En Paris ; La Unión;Rock en español;;
Persiana Americana - Remasterizado 2007 ; Soda Stereo;Rock en español;;
Atlas; Rise!;Metallica;Metal;
Wasted Years - 1998 Remastered Version ; Iron Maiden;Metal;;
Tornado Of Souls - 2004 Digital Remaster ; Megadeth;Metal;;
Walk ; Pantera;Metal;;
Holy Diver ; Dio;Metal;;
Raining Blood ; Slayer;Metal;;
Crazy Train - Remastered ; Ozzy Osbourne;Metal;;
Painkiller ; Judas Priest;Metal;;
Hot For Teacher ; Van Halen;Metal;;
Metal Church ; Metal Church;Metal;;
I Want Out ; Helloween;Metal;;
Moth Into Flame ; Metallica;Metal;;
The Toxic Waltz ; Exodus;Metal;;
2 Minutes To Midnight - 1998 Remastered Version ; Iron Maiden;Metal;;
Balls to the Wall ; Accept;Metal;;
Princess of the Night ; Saxon;Metal;;
Cowboys From Hell ; Pantera;Metal;;
Sad But True ; Metallica;Metal;;
A Dangerous Meeting ; Mercyful Fate;Metal;;
South Of Heaven ; Slayer;Metal;;
Overkill ; Motörhead;Metal;;
Electric Eye ; Judas Priest;Metal;;
Electric Crown ; Testament;Metal;;
Master Of Puppets ; Metallica;Metal;;
Kings Of Metal ; Manowar;Metal;;
Tarot Woman ; Rainbow;Metal;;
Cold Sweat ; Thin Lizzy;Metal;;
Hardwired ; Metallica;Metal;;
Run to the Hills - 1998 Remastered Version ; Iron Maiden;Metal;;
Solitude ; Candlemass;Metal;;
Victim Of Changes ; Judas Priest;Metal;;
Battle Hymn ; Manowar;Metal;;
Fight Fire With Fire ; Metallica;Metal;;
Still Of The Night - 2007 Remastered Version ; Whitesnake;Metal;;
Metal On Metal ; Anvil;Metal;;
Symptom of the Universe ; Black Sabbath;Metal;;
Where Eagles Dare - 1998 Remastered Version ; Iron Maiden;Metal;;
N.I.B. ; Black Sabbath;Metal;;
Wild Child ; W.A.S.P.;Metal;;
Iron Man ; Black Sabbath;Metal;;
We Rock ; Dio;Metal;;
Metal Health (Bang Your Head) ; Quiet Riot;Metal;;
Doctor Doctor ; UFO;Metal;;
Can U Deliver ; Armored Saint;Metal;;
Breaking The Chains ; Dokken;Metal;;
Edge of Thorns ; Savatage;Metal;;
Killed By Death ; Motörhead;Metal;;
All We Are ; Warlock;Metal;;
The Four Horsemen (Remastered) ; Metallica;Metal;;
Learn to Fly ; Foo Fighters;Rock alternativo;;
The Kids Aren't Alright ; The Offspring;Rock alternativo;;
Killing In The Name - Remastered ; Rage Against The Machine;Rock alternativo;;
Even Flow ; Pearl Jam;Rock alternativo;;
Drive ; Incubus;Rock alternativo;;
My Own Worst Enemy ; Lit;Rock alternativo;;
Basket Case ; Green Day;Rock alternativo;;
Man in the Box ; Alice In Chains;Rock alternativo;;
Smells Like Teen Spirit ; Nirvana;Rock alternativo;;
Tomorrow - Remastered ; Silverchair;Rock alternativo;;
Freak On a Leash ; Korn;Rock alternativo;;
The Distance ; Cake;Rock alternativo;;
Loser ; Beck;Rock alternativo;;
Two Princes ; Spin Doctors;Rock alternativo;;
Semi-Charmed Life ; Third Eye Blind;Rock alternativo;;
Shimmer - Single Version ; Fuel;Rock alternativo;;
Inside Out ; Eve 6;Rock alternativo;;
Down ;311;Rock alternativo;;
Everlong ; Foo Fighters;Rock alternativo;;
Plush ; Stone Temple Pilots;Rock alternativo;;
Alive ; Pearl Jam;Rock alternativo;;
Ball and Chain ; Social Distortion;Rock alternativo;;
Cannonball ; The Breeders;Rock alternativo;;
Pretty Fly (For a White Guy) ; The Offspring;Rock alternativo;;
The Freshmen ; The Verve Pipe;Rock alternativo;;
Runaway Train ; Soul Asylum;Rock alternativo;;
Only Happy When It Rains ; Garbage;Rock alternativo;;
Brick ; Ben Folds Five;Rock alternativo;;
Creep ; Radiohead;Rock alternativo;;
Bulls On Parade ; Rage Against The Machine;Rock alternativo;;
Girlfriend ; Matthew Sweet;Rock alternativo;;
1979; The Smashing Pumpkins;Rock alternativo;;
Mmm Mmm Mmm Mmm ; Crash Test Dummies;Rock alternativo;;
No Rain - 2002 - Remastered ; Blind Melon;Rock alternativo;;
All I Want ; Toad The Wet Sprocket;Rock alternativo;;
Wonderwall ; Oasis;Rock alternativo;;
Bitter Sweet Symphony ; The Verve;Rock alternativo;;
Criminal ; Fiona Apple;Rock alternativo;;
Plowed ; Sponge;Rock alternativo;;
Been Caught Stealing ; Jane's Addiction;Rock alternativo;;
I Don't Know Anything ; Mad Season;Rock alternativo;;
Sex And Candy ; Marcy Playground;Rock alternativo;;
Buddy Holly ; Weezer;Rock alternativo;;
Santa Monica ; Everclear;Rock alternativo;;
Got the Life ; Korn;Rock alternativo;;
Pure Massacre - Remastered ; Silverchair;Rock alternativo;;
Jeremy ; Pearl Jam;Rock alternativo;;
Lump ; The Presidents Of The United States Of America;Rock alternativo;;
Mr. Jones ; Counting Crows;Rock alternativo;;
Hallelujah ; Jeff Buckley;Rock alternativo;;
Meet Virginia ; Train;Rock alternativo;;
Never There ; Cake;Rock alternativo;;
Superman ; Goldfinger;Rock alternativo;;
Superman's Dead ; Our Lady Peace;Rock alternativo;;
Little Miss Can't Be Wrong ; Spin Doctors;Rock alternativo;;
All Mixed Up ;311;Rock alternativo;;
Just A Girl ; No Doubt;Rock alternativo;;
Why Don't You Get a Job? ; The Offspring;Rock alternativo;;
My Hero ; Foo Fighters;Rock alternativo;;
Pardon Me ; Incubus;Rock alternativo;;
No Excuses ; Alice In Chains;Rock alternativo;;
River Of Deceit ; Mad Season;Rock alternativo;;
Everything You Want ; Vertical Horizon;Rock alternativo;;
The Beautiful People ; Marilyn Manson;Rock alternativo;;
Standing Outside a Broken Phone Booth with Money in My Hand ; Primitive Radio Gods;Rock alternativo;;
What I Got ; Sublime;Rock alternativo;;
99 Red Balloons ; Goldfinger;Rock alternativo;;
If I Can't Change Your Mind ; Sugar;Rock alternativo;;
Nearly Lost You ; Screaming Trees;Rock alternativo;;
Zombie ; The Cranberries;Rock alternativo;;
I Will Survive ; Cake;Rock alternativo;;
Hey Man; Nice Shot (Remastered Album Version) ;Rock alternativo;;
I Miss You ; Incubus;Rock alternativo;;
Clean My Wounds ; Corrosion Of Conformity;Rock alternativo;;
Closer ; Nine Inch Nails;Rock alternativo;;
Would? ; Alice In Chains;Rock alternativo;;
2 Wicky ; Hooverphonic;Rock alternativo;;
Cut You In ; Jerry Cantrell;Rock alternativo;;
When I Come Around ; Green Day;Rock alternativo;;
Stars ; Hum;Rock alternativo;;
She Don't Use Jelly ; The Flaming Lips;Rock alternativo;;
Closing Time ; Semisonic;Rock alternativo;;
S.O.B. ; Nathaniel Rateliff & The Night Sweats;Folk;;
Douglas Douglass ; Pearl and the Beard;Folk;;
Be My Husband ; Sara Watkins;Folk;;
Water Fountain ; tUnE-yArDs;Folk;;
Cups ; Lulu & The Lampshades;Folk;;
Down To The River ; The Duhks;Folk;;
All Is Love ; Karen O And The Kids;Folk;;
Step Into My Office; Baby ;Folk;;
Housebroken Man ; Quiet Life;Folk;;
All I Want Is You ; Barry Louis Polisar;Folk;;
The Train That Carried My Gal From Town ; Buddy Miller;Folk;;
Road To Nowhere ; Release The Sunbird;Folk;;
I've Got A Dog And My Dog's Name Is Cat ; Barry Louis Polisar;Folk;;
Adelaide ; The Greencards;Folk;;
King of the World ; First Aid Kit;Folk;;
Back To You ; Twin Forks;Folk;;
My Best Friend ; Hello Saferide;Folk;;
Ain't No Grave ; Crooked Still;Folk;;
Rollin' Over ; Skinny Lister;Folk;;
I Will Wait ; Mumford & Sons;Folk;;
In Our Talons ; Bowerbirds;Folk;;
Fuel The Fire ; Sarah Jarosz;Folk;;
Ode to Work a Day ; Boat To Row;Folk;;
Black Mountain Side ; Led Zeppelin;Folk;;
Reggaetón Lento (Bailemos) ; CNCO;Reggaeton;;
Otra Vez (feat. J Balvin) ; Zion & Lennox;Reggaeton;;
Chantaje ; Shakira;Reggaeton;;
Safari ; J Balvin;Reggaeton;;
Gyal You A Party Animal - Remix ; Charly Black;Reggaeton;;
Vente Pa' Ca ; Ricky Martin;Reggaeton;;
Traicionera ; Sebastian Yatra;Reggaeton;;
Dile Que Tu Me Quieres ; Ozuna;Reggaeton;;
Bailame Despacio ; Xantos;Reggaeton;;
Vacaciones ; Wisin;Reggaeton;;
Shaky Shaky - Remix ; Daddy Yankee;Reggaeton;;
El Perdedor - The Remix ; Maluma;Reggaeton;;
El Chisme ; Reykon;Reggaeton;;
Mi Tesoro (feat. Nicky Jam) ; Zion & Lennox;Reggaeton;;
Ay Mi Dios ; IAmChino;Reggaeton;;
De Pies a Cabeza - Saga Remix ; Maná;Reggaeton;;
Me Llamas ; Piso 21;Reggaeton;;
Ya Me Enteré - Urban Version ; Reik;Reggaeton;;
Necesito Ayuda ; Jacob Forever;Reggaeton;;
Si Ella Quisiera (Remix) [feat. Yandel & Gadiel] ; Justin Quiles;Reggaeton;;
Manicomio ; Cosculluela;Reggaeton;;
Acércate (feat. Nicky Jam) - Remix ; De La Ghetto;Reggaeton;;
Te Quiero Pa´Mi ; Don Omar;Reggaeton;;
Quítate la Pena ; Piso 21;Reggaeton;;
Otra Copa (feat. Farruko) ; Justin Quiles;Reggaeton;;
Ruleta Rusa ; Kevin Roldan;Reggaeton;;
La Cómplice ; Alexis & Fido;Reggaeton;;
Si Me Dices Que Si (feat. Nicky Jam) ; Cosculluela;Reggaeton;;
La Bicicleta - Remix ; Carlos Vives;Reggaeton;;
Amor y Dolor (feat. Alexis & Fido) ; Carlos Baute;Reggaeton;;
Quédate - Remix ; Andy Rivera;Reggaeton;;
Playa y Arena (Remix) ; Mark B.;Reggaeton;;
Que Raro ; Feid;Reggaeton;;
Ya Quiero ; Domino Saints;Reggaeton;;
Encantadora - Remix ; Yandel;Reggaeton;;
Hello ; Karol G;Reggaeton;;
Bobo ; J Balvin;Reggaeton;;
DUELE EL CORAZON - Remix ; Enrique Iglesias;Reggaeton;;
Rico Suave ; J Alvarez;Reggaeton;;
Hasta el Amanecer - The Remix ; Nicky Jam;Reggaeton;;
Pierde Los Modales ; J Balvin;Reggaeton;;
Detras De Ti (Remix) [feat. Ozuna] ; Jory Boy;Reggaeton;;
Nos Olvidamos ; Ken-Y;Reggaeton;;
La Fila ; Luny Tunes;Reggaeton;;
Embriágame (feat. Don Omar) - Remix ; Zion & Lennox;Reggaeton;;
Andas En Mi Cabeza - Remix ; Chino & Nacho;Reggaeton;;
Borro Cassette ; Maluma;Reggaeton;;
La Oportunidad ; Danny Romero;Reggaeton;;
Hasta Que Se Seque el Malecón - Remix ; Jacob Forever;Reggaeton;;
Una en un Millón - Remix ; Alexis & Fido;Reggaeton;;
No Quiere Enamorarse (Remix) [feat. Daddy Yankee] ; Ozuna;Reggaeton;;
Lloraras ; Oscar D'León;Salsa;;
Yo No Se Manana ; Luis Enrique;Salsa;;
La Murga ; Héctor Lavoe;Salsa;;
La rebelion ; Joe Arroyo;Salsa;;
Conteo Regresivo - Salsa Version ; Gilberto Santa Rosa;Salsa;;
Flor Pálida ; Marc Anthony;Salsa;;
Micaela ; Sonora Carruseles;Salsa;;
Fabricando Fantasias - Salsa Version ; Tito Nieves;Salsa;;
La Agarro Bajando ; Gilberto Santa Rosa;Salsa;;
Desnúdate Mujer ; Frankie Ruiz;Salsa;;
He Tratado ; Víctor Manuelle;Salsa;;
Amores Como el Nuestro ; Jerry Rivera;Salsa;;
Gotas De Lluvia ; Grupo Niche;Salsa;;
Que Locura Enamorarme De Ti ; Eddie Santiago;Salsa;;
Aquel Lugar ; Adolescent's Orquesta;Salsa;;
Decisiones ; Rubén Blades;Salsa;;
Mi Media Mitad ; Rey Ruiz;Salsa;;
Oiga; Mire;Salsa;;
Valió la Pena - Salsa Version ; Marc Anthony;Salsa;;
Cachondea ; Fruko Y Sus Tesos;Salsa;;
Tu Amor Me Hace Bien - Salsa Version ; Marc Anthony;Salsa;;
Conciencia ; Gilberto Santa Rosa;Salsa;;
Ven devorame otra vez ; Lalo Rodriguez;Salsa;;
Vivir lo nuestro ; Marc Anthony;Salsa;;
Anacaona ; Fania All Stars;Salsa;;
Un Verano En Nueva York ; Andy Montañez;Salsa;;
El Preso ; Fruko Y Sus Tesos;Salsa;;
Tu Con El ; Frankie Ruiz;Salsa;;
Aquél Viejo Motel ; David Pabon;Salsa;;
Ven Devórame Otra Vez ; Lalo Rodriguez;Salsa;;
El Dia De Suerte ; Héctor Lavoe;Salsa;;
Sin Sentimientos ; Grupo Niche;Salsa;;
Por Ella ; Víctor Manuelle;Salsa;;
Cinco Noches ; Paquito Guzman;Salsa;;
Te Va a Doler ; Maelo Ruiz;Salsa;;
El Cantante ; Marc Anthony;Salsa;;
Me Liberé ; El Gran Combo De Puerto Rico;Salsa;;
I Love Salsa ; N'Klabe;Salsa;;
Señora De Madrugada ; Tito Rojas;Salsa;;
No Me Acostumbro ; Rey Ruiz;Salsa;;
Lluvia ; Eddie Santiago;Salsa;;
Cali Pachanguero ; Grupo Niche;Salsa;;
La Quiero A Morir ; D.L.G.;Salsa;;
Cuando Se Juega Con Fuego ; Luis Enrique;Salsa;;
Comerte A Besos - Salsa Version ; Frankie Negrón;Salsa;;
Pirata - Original Version ; Yiyo Sarante;Salsa;;
Siempre Seré ; Tito Rojas;Salsa;;
Esa Mujer ; Tony Vega;Salsa;;
Tengo Ganas - Versión Salsa ; Víctor Manuelle;Salsa;;
Juliana ; D.L.G.;Salsa;;
Estos Celos ; David Kada;Salsa;;
Adicto a Tu Piel ; Frankie Negrón;Salsa;;
Pirata de Amor ; Yanfourd;Salsa;;
Amor Perfecto ; Alex Matos;Salsa;;
Vamonos Pal Monte ; Eddie Palmieri;Salsa;;
Qué Hay de Malo ; Jerry Rivera;Salsa;;
Estoy Confundido ; Felix Manuel;Salsa;;
Una Aventura ; Grupo Niche;Salsa;;
Tu Sin Mi ; Jehu El Rey;Salsa;;
Qué Se Siente ; Rolf Sanchez;Salsa;;
Corazón Sin Cara ; Prince Royce;Bachata;;
Propuesta Indecente ; Romeo Santos;Bachata;;
Te Extraño - Bachata Version ; Xtreme;Bachata;;
Hoja En Blanco ; Monchy & Alexandra;Bachata;;
El malo ; Aventura;Bachata;;
Solo Quise Quererte ; Kewin Cosmos;Bachata;;
Me Puedo Matar (feat. Hactor Acosta) ; Bachata Heightz;Bachata;;
La Mejor de Todas ; Zacarias Ferreira;Bachata;;
Eres Mía ; Romeo Santos;Bachata;;
Darte un Beso ; Prince Royce;Bachata;;
24 Horas ; 24 Horas;Bachata;;
Quiereme ; Johnny Sky;Bachata;;
Te Robaré ; Prince Royce;Bachata;;
Tengo un Amor ; Toby Love;Bachata;;
Infiel ; Karlos Rosé;Bachata;;
Llévame Contigo ; Romeo Santos;Bachata;;
El Pobre (Remix) [feat. Luis Vargas] ; Chiko Swagg;Bachata;;
Dile al amor ; Aventura;Bachata;;
Cuanto Duele ; Carlos y Alejandra;Bachata;;
Vagabundo; Borracho y Loco ;Bachata;;
Solita ; Prince Royce;Bachata;;
Debate De 4 ; Romeo Santos;Bachata;;
Tu Eres Ajena ; Frank Reyes;Bachata;;
Que Ironía (Versión Bachata) ; Andy Andy;Bachata;;
Poquito A Poquito ; Henry Santos;Bachata;;
Los infieles ; Aventura;Bachata;;
El Cuchillo ; Optimo;Bachata;;
Necio ; Romeo Santos;Bachata;;
La Carretera ; Prince Royce;Bachata;;
Loco De Amor ; Luis Vargas;Bachata;;
Obsesion ; Aventura;Bachata;;
Cancioncitas de Amor ; Romeo Santos;Bachata;;
Culpa al Corazón ; Prince Royce;Bachata;;
Donde Estan Esos Amigos ; El Chaval;Bachata;;
Donde Estara ; Antony Santos;Bachata;;
Hilito ; Romeo Santos;Bachata;;
Perdidos ; Monchy & Alexandra;Bachata;;
Culpables ; Liza + Willie;Bachata;;
Inocente ; Romeo Santos;Bachata;;
24 Horas ; Frank Reyes;Bachata;;
Nereyda ; Raulin Rodriguez;Bachata;;
Me Voy (feat. Romeo Santos) ;" Hector Acosta ""El Torito""";Bachata;;
No Es una Novela ; Monchy & Alexandra;Bachata;;
Por Tu Culpa ; 24 Horas;Bachata;;
El Aire Que Respiro ; Toby Love;Bachata;;
Tatuaje ; Elvis Crespo;Bachata;;
Just The Way You Are ; Karlos Rosé;Bachata;;
No Tengo Suerte En El Amor ; Yoskar Sarante;Bachata;;
La Bella Y La Bestia ; Romeo Santos;Bachata;;
Diez Segundos ; Zacarias Ferreira;Bachata;;
